Test:	mc_1-5_tempramp_10_0-5
Result:	Temperature ramp
Interval:	1
Point No.	Time	Test Time	Temperature	Storage Modulus	Loss Modulus	Loss Factor	Complex Viscosity	Gap	Normal Force	Torque	Status
											
	[s]	[s]	[°C]	[Pa]	[Pa]	[1]	[mPa·s]	[mm]	[N]	[µN·m]	
1	59,575	1275	9,88	46,002	40,215	0,874	6110,2	0,000	0,14	3,6629	TruStrain™
2	119,149	1334	10,14	45,961	40,213	0,875	6107	0,000	0,25	3,661	TruStrain™
3	178,724	1394	10,63	45,835	40,124	0,875	6091,6	0,000	0,21	3,6518	TruStrain™
4	238,298	1454	11,22	45,573	39,979	0,877	6062,4	0,000	0,00	3,6343	TruStrain™
5	297,873	1513	11,83	45,22	39,777	0,88	6022,5	0,000	0,05	3,6104	TruStrain™
6	357,447	1573	12,41	44,762	39,531	0,883	5971,8	0,000	0,12	3,58	TruStrain™
7	417,022	1632	12,97	44,258	39,242	0,887	5914,9	0,000	0,22	3,5459	TruStrain™
8	476,596	1692	13,51	43,718	38,933	0,891	5854,1	0,000	0,30	3,5094	TruStrain™
9	536,171	1751	14,04	43,144	38,602	0,895	5789,2	0,000	0,01	3,4705	TruStrain™
10	595,745	1811	14,57	42,561	38,257	0,899	5722,7	0,000	0,03	3,4307	TruStrain™
11	655,320	1871	15,08	41,961	37,9	0,903	5654,3	0,000	0,28	3,3896	TruStrain™
12	714,894	1930	15,60	41,348	37,535	0,908	5584,4	0,000	0,34	3,3477	TruStrain™
13	774,468	1990	16,10	40,724	37,168	0,913	5513,5	0,000	0,09	3,3052	TruStrain™
14	834,043	2049	16,62	40,099	36,803	0,918	5442,8	0,000	0,02	3,2628	TruStrain™
15	893,617	2109	17,12	39,484	36,428	0,923	5372,1	0,000	0,08	3,2205	TruStrain™
16	953,192	2168	17,63	38,891	36,055	0,927	5303,3	0,000	0,16	3,1792	TruStrain™
17	1012,766	2228	18,13	38,27	35,688	0,933	5232,8	0,000	0,27	3,1369	TruStrain™
18	1072,341	2288	18,64	37,673	35,32	0,938	5164,1	0,000	0,15	3,0957	TruStrain™
19	1131,915	2347	19,14	37,076	34,946	0,943	5095	0,000	0,01	3,0543	TruStrain™
20	1191,490	2407	19,65	36,495	34,573	0,947	5027,1	0,000	0,06	3,0136	TruStrain™
21	1251,064	2466	20,16	35,903	34,195	0,952	4958,1	0,000	0,13	2,9723	TruStrain™
22	1310,639	2526	20,66	35,322	33,829	0,958	4890,8	0,000	0,24	2,932	TruStrain™
23	1370,213	2585	21,17	34,758	33,476	0,963	4825,8	0,000	0,27	2,8929	TruStrain™
24	1429,788	2645	21,67	34,194	33,114	0,968	4760	0,000	0,01	2,8535	TruStrain™
25	1489,362	2705	22,17	33,641	32,741	0,973	4694,3	0,000	0,24	2,8141	TruStrain™
26	1548,936	2764	22,68	33,089	32,385	0,979	4630	0,000	0,30	2,7756	TruStrain™
27	1608,511	2824	23,17	32,552	32,026	0,984	4566,6	0,000	0,36	2,7376	TruStrain™
28	1668,085	2883	23,68	32,013	31,675	0,989	4503,5	0,000	0,03	2,6997	TruStrain™
29	1727,660	2943	24,18	31,501	31,308	0,994	4441,2	0,000	0,03	2,6624	TruStrain™
30	1787,234	3002	24,68	30,986	30,974	1	4381,2	0,000	0,10	2,6264	TruStrain™
31	1846,809	3062	25,19	30,477	30,624	1	4320,5	0,000	0,19	2,59	TruStrain™
32	1906,383	3122	25,69	29,978	30,284	1,01	4261,2	0,000	0,31	2,5545	TruStrain™
33	1965,958	3181	26,19	29,476	29,941	1,02	4201,6	0,000	0,08	2,5187	TruStrain™
34	2025,532	3241	26,69	29,005	29,603	1,02	4144,4	0,000	0,02	2,4845	TruStrain™
35	2085,107	3300	27,19	28,529	29,258	1,03	4086,5	0,000	0,08	2,4497	TruStrain™
36	2144,681	3360	27,69	28,069	28,915	1,03	4029,8	0,000	0,16	2,4158	TruStrain™
