Test:	mc_1-5_tempramp_1_1
Result:	Temperature ramp
Interval:	1
Point No.	Time	Test Time	Temperature	Storage Modulus	Loss Modulus	Loss Factor	Complex Viscosity	Gap	Normal Force	Torque	Status
											
	[s]	[s]	[°C]	[Pa]	[Pa]	[1]	[mPa·s]	[mm]	[N]	[µN·m]	
1	102,440	740,4	9,98	10,505	14,569	1,39	17961	0,000	-13,03	1,0768	WMa,TruStrain™
2	204,879	842,8	11,69	10,404	14,466	1,39	17819	0,000	-13,05	1,0682	TruStrain™
3	307,318	945,3	13,82	10,051	14,115	1,4	17328	0,000	-12,89	1,0388	TruStrain™
4	409,757	1048	15,73	9,5664	13,622	1,42	16645	0,000	-13,06	0,99786	TruStrain™
5	512,196	1150	17,58	9,0165	13,061	1,45	15871	0,000	-12,87	0,95145	TruStrain™
6	614,635	1253	19,39	8,4519	12,468	1,48	15063	0,000	-12,77	0,90298	TruStrain™
7	717,074	1355	21,17	7,8932	11,867	1,5	14253	0,000	-13,09	0,8544	TruStrain™
8	819,513	1457	22,95	7,3431	11,265	1,53	13447	0,000	-12,96	0,80612	TruStrain™
9	921,952	1560	24,70	6,8289	10,686	1,56	12682	0,000	-12,81	0,76026	TruStrain™
10	1024,391	1662	26,48	6,3425	10,117	1,6	11941	0,000	-13,08	0,71584	TruStrain™
11	1126,830	1765	28,23	5,8831	9,5755	1,63	11238	0,000	-12,95	0,67371	TruStrain™
12	1229,269	1867	30,00	5,4504	9,0626	1,66	10575	0,000	-12,84	0,63396	TruStrain™
13	1331,708	1970	31,74	5,0669	8,5592	1,69	9946,5	0,000	-13,07	0,59627	TruStrain™
14	1434,147	2072	33,51	4,7294	8,077	1,71	9359,8	0,000	-12,79	0,5611	TruStrain™
15	1536,586	2175	35,26	4,3855	7,6316	1,74	8801,9	0,000	-13,09	0,52765	TruStrain™
16	1639,025	2277	37,01	4,0984	7,2066	1,76	8290,5	0,000	-13,01	0,49699	TruStrain™
17	1741,464	2379	38,77	3,8658	6,8047	1,76	7826,2	0,000	-12,83	0,46916	TruStrain™
18	1843,903	2482	40,52	3,7003	6,4459	1,74	7432,5	0,000	-13,10	0,44556	TruStrain™
19	1946,342	2584	42,28	3,6188	6,1231	1,69	7112,5	0,000	-13,00	0,42638	TruStrain™
20	2048,780	2687	44,03	3,6807	5,8816	1,6	6938,4	0,000	-12,81	0,41594	TruStrain™
21	2151,219	2789	45,78	4,0128	5,7559	1,43	7016,6	0,000	-13,09	0,42063	TruStrain™
22	2253,658	2892	47,53	4,7317	5,7364	1,21	7436,1	0,000	-12,82	0,44578	TruStrain™
23	2356,097	2994	49,29	5,998	5,8272	0,972	8362,6	0,000	-12,98	0,50132	TruStrain™
24	2458,536	3096	51,04	8,1248	5,9559	0,733	10074	0,000	-13,05	0,60391	TruStrain™
25	2560,975	3199	52,79	11,721	6,1358	0,523	13230	0,000	-12,89	0,79309	TruStrain™
26	2663,414	3301	54,54	18,345	6,2553	0,341	19382	0,000	-13,00	1,1619	TruStrain™
27	2765,853	3404	56,30	31,244	6,2197	0,199	31857	0,000	-13,02	1,9098	TruStrain™
28	2868,292	3506	58,06	56,795	6,2387	0,11	57137	0,000	-12,84	3,4252	TruStrain™
29	2970,731	3609	59,81	105,03	6,8459	0,0652	1,0525E+05	0,000	-12,95	6,3098	TruStrain™
30	3073,170	3711	61,56	188,38	8,569	0,0455	1,8858E+05	0,000	-12,68	11,305	TruStrain™
31	3175,609	3814	63,32	319,32	11,488	0,036	3,1953E+05	0,000	-12,44	19,155	TruStrain™
32	3278,048	3916	65,07	500,48	14,616	0,0292	5,007E+05	0,000	-12,55	30,016	TruStrain™
33	3380,487	4018	66,81	702,18	15,711	0,0224	7,0236E+05	0,000	-12,37	42,104	TruStrain™
34	3482,926	4121	68,58	888,68	16,873	0,019	8,8884E+05	0,000	-12,34	53,284	TruStrain™
35	3585,365	4223	70,32	1082,8	19,988	0,0185	1,083E+06	0,000	-12,74	64,925	TruStrain™
