Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"1,035E+05",15.0,0.03,2.9576,1.2918,0.437,0.016198,0.502,0.00019421
2,357.9,"1,036E+05",15.0,0.0426,3.1376,1.6542,0.527,0.017758,0.501,0.00021291
3,462,"1,038E+05",15.0,0.0605,4.2715,2.1341,0.500,0.023885,0.5,0.00028637
4,535.3,"1,038E+05",15.0,0.0859,4.368,2.8458,0.652,0.02607,0.5,0.00031257
5,586.9,"1,039E+05",15.0,0.122,4.6268,3.5159,0.760,0.029057,0.5,0.00034838
6,623.2,"1,039E+05",15.0,0.173,4.9935,4.3089,0.863,0.032978,0.5,0.00039539
7,648.8,"1,039E+05",15.0,0.246,5.4914,5.2432,0.955,0.037963,0.5,0.00045516
8,666.9,"1,04E+05",15.0,0.349,6.4481,6.5055,1.009,0.045798,0.5,0.0005491
9,679.5,"1,04E+05",15.0,0.496,7.3346,7.7673,1.059,0.053415,0.5,0.00064043
10,688.5,"1,04E+05",15.0,0.704,7.1292,8.0729,1.132,0.053851,0.5,0.00064565
11,694.8,"1,04E+05",15.0,1,9.0063,9.7846,1.086,0.066493,0.5,0.00079721
