Point No.,Time,Test Time,Temperature,Angular Frequency,Storage Modulus,Loss Modulus,Loss Factor,Shear Stress,Shear Strain,Torque
[s],[s],[°C],[rad/s],[Pa],[Pa],[1],[Pa],[%],[mN·m],
1,210,"4,036E+04",60.0,0.03,2191.2,38.802,0.018,10.998,0.502,0.13186
2,357.9,"4,051E+04",60.0,0.0426,2207.6,34.235,0.016,11.054,0.501,0.13253
3,462,"4,061E+04",60.0,0.0605,2224.6,33.086,0.015,11.129,0.5,0.13343
4,535.3,"4,069E+04",60.0,0.0859,2237.3,31.664,0.014,11.189,0.5,0.13415
5,586.9,"4,074E+04",60.0,0.122,2249.7,30.094,0.013,11.25,0.5,0.13488
6,623.2,"4,077E+04",60.0,0.173,2260.9,28.218,0.012,11.306,0.5,0.13555
7,648.8,"4,08E+04",60.0,0.246,2269.7,26.167,0.012,11.349,0.5,0.13607
8,666.9,"4,082E+04",60.0,0.349,2278.8,24.006,0.011,11.395,0.5,0.13662
9,679.5,"4,083E+04",60.0,0.496,2285,21.623,0.009,11.425,0.5,0.13699
10,688.5,"4,084E+04",60.0,0.704,2295,23.104,0.010,11.475,0.5,0.13758
11,694.8,"4,085E+04",60.0,1,2300.4,21.647,0.009,11.502,0.5,0.13791
