Temperature,V,Concentration,Process
15.0,5.6976784384060934,1.25,heating
20.0,4.577480151368894,1.25,heating
25.0,3.873760565831088,1.25,heating
30.0,3.5899671051292645,1.25,heating
35.0,4.004507614784468,1.25,heating
45.0,57.2082648418536,1.25,heating
50.0,215.65603226937583,1.25,heating
55.0,482.12201494149775,1.25,heating
60.0,805.8347466430788,1.25,heating
65.0,1235.9216290535621,1.25,heating
70.0,1680.3517318263089,1.25,heating
75.0,2157.4264056348984,1.25,heating
80.0,2679.7906096955817,1.25,heating
