Temperature,V,Concentration,Process
15.0,35.75319919562332,2.0,cooling
20.0,42.12934841689292,2.0,cooling
25.0,43.64883848022949,2.0,cooling
30.0,251.98907348643755,2.0,cooling
35.0,647.4134385273305,2.0,cooling
40.0,1253.275767223338,2.0,cooling
45.0,1975.2367175967431,2.0,cooling
50.0,2765.842216365047,2.0,cooling
55.0,3611.9732775607617,2.0,cooling
60.0,4473.497019723867,2.0,cooling
65.0,5307.022277147039,2.0,cooling
70.0,6036.660718469399,2.0,cooling
75.0,6645.858323567092,2.0,cooling
